date_sampled,treatment,depth,sample,Ks_10degC_norm_cm_d,notes,filename
,LMT,37.5,1_1_1,522,,20190329_1_1_1_001
,LMT,37.5,1_1_2,298,,20190329_1_1_2_001
,LMT,37.5,1_1_3,66,,20190328_1_1_3_002
,CMT,37.5,1_3_2,87,,20190327_1_3_2_002
,CMT,37.5,1_3_3,153,,20190327_1_3_3_001
20181026,OMT,37.5,2_3_1,66,,NA
,OMT,37.5,2_3_1,54,,20190328_2_3_1_001
,OMT,37.5,2_3_2,465,,20190329_2_3_2_001
20181026,OMT,37.5,2_3_3,135,,NA
20181026,CMT,37.5,4_5_2,213,,NA
,LMT,37.5,6_3_1,779,,20190328_6_3_1_001
,LMT,37.5,6_3_2,17,,20190329_6_3_2_001
,LMT,37.5,6_3_3,512,,20190328_6_3_3_002
20181026,OMT,37.5,6_4_1,116,,NA
20181026,OMT,37.5,6_4_2,304,,NA
20181026,OMT,37.5,6_4_3,740,,NA
,LMT,37.5,6_7_1,177,,20190327_6_7_1_001
,LMT,37.5,6_7_2,1280,,20190328_6_7_2_002
,LMT,37.5,6_7_3,151,,20190327_6_7_3_002
20181026,OMT,37.5,6_8_2,139,,NA
20181026,OMT,37.5,6_8_3,19,,NA
,CMT,37.5,8_9_1,42,,20190327_8_9_1_001
,CMT,37.5,8_9_2,258,,20190329_8_9_2_001
20181026,CMT,37.5,8_9_3,32,,NA
