sample_id,timepoint,crop,plot,mgmttype,depth_upper,depth_lower,depth_code,mic_c,total_biomass,011: 12:0,019: 14:0 iso,026: 14:0,028: 15:1 iso w6c,029: 15:4 w3c,030: 15:1 anteiso w9c,031: 15:0 iso,033: 15:0 anteiso,041: 15:0,045: 16:0 iso,047: 16:0 anteiso,048: 16:1 w9c,050: 16:1 w7c,052: 16:1 w5c,054: 16:1 w3c,055: 16:0,056: 17:1 iso w10c,057: 16:0 10-methyl,058: 17:1 iso w9c,059: 17:1 anteiso w9c,061: 17:0 iso,062: 17:0 anteiso,064: 17:1 w8c,067: 17:0 cyclo w7c,071: 17:0,072: 17:1 w7c 10-methyl,074: 17:0 10-methyl,075: 18:3 w6c,076: 18:0 iso,078: 18:2 w6c,079: 18:1 w9c,081: 18:1 w7c,083: 18:1 w5c,086: 18:1 w7c 10-methyl,087: 17:0 iso 3OH,088: 18:0 10-methyl,090: 19:3 w6c,095: 19:1 w8c,099: 19:0 cyclo w7c,102: 20:4 w6c,103: 20:5 w3c,104: 20:3 w6c,106: 20:2 w6c,107: 20:1 w9c,112:20:00,113: 20:0 10-methyl,121: 21:1 w3c,123: 22:5 w6c,124: 22:6 w3c,135:22:00,142:23:00,149:24:00,Grampos_Gramneg
1,TP1,T,1_1,LMT,0,15,15,95.76237297,101.36,,0.78,0.97,1.05,0.29,0.37,6.92,4.45,0.72,2.73,,2.04,11.65,4.18,,12.9,,7.53,0.98,0.66,1.43,1.83,1.33,3.55,0.52,0.85,0.68,,0.74,3.53,8.03,10.55,1.68,0.86,,1.98,,,3.16,0.45,0.2,,,0.42,0.43,0.29,,,,0.28,,0.35,0.994
2,TP1,T,1_1,LMT,15,60,45,53.6794952,30.21,,,0.36,,,,2.37,1.47,,0.95,,,3.01,0.79,,4.87,,4.31,0.78,,0.72,0.79,,0.87,,1.04,,,,0.35,1.95,1.72,0.45,,,0.82,,,1.97,,,,,,,0.61,,,,,,,1.729
3,TP1,T,1_1,LMT,60,100,40,23.17895161,11,,,,,,,0.66,0.46,,0.54,,,0.74,,,2.14,,1.9,0.47,,0.36,0.3,,,,0.98,,,,,0.62,0.37,,,,,,,0.57,,,,,,,0.9,,,,,,,3.9
4,TP1,C,1_2,OMT,0,15,15,80.55119842,94.92,,0.61,0.77,0.92,0.25,0.3,6.17,3.92,0.64,2.39,,1.59,9.7,3.6,,13.53,,7.58,0.92,0.52,1.31,1.72,1.03,2.81,0.47,0.94,0.53,,0.87,5.86,7.38,9.1,1.59,0.7,,1.85,,,3.06,0.4,0.19,,,0.25,0.5,,,,,0.29,,0.65,1.072
5,TP1,C,1_2,OMT,15,60,45,54.17176042,23.72,,,,,,,1.87,1.27,,0.78,,0.45,1.39,0.64,,4.18,,3.84,0.61,,0.59,0.69,,0.63,,1.05,,,,0.41,1.33,1.25,0.38,,,0.67,,,1.68,,,,,,,,,,,,,,1.967
6,TP1,C,1_2,OMT,60,100,40,25.84900402,16.81,,,,,,,1.27,0.87,,0.86,,,0.94,,,3.16,,3.19,0.46,,0.58,0.55,,0.37,,1.51,,,,,0.9,0.56,,,,0.63,,,0.98,,,,,,,,,,,,,,3.481
7,TP1,T,1_3,CMT,0,15,15,72.139242,28.81,,,0.27,,,,2.37,1.3,,0.83,,0.56,2.78,0.92,,4.37,,3.9,0.79,,0.62,0.76,0.26,0.93,,0.72,,,,0.49,2.07,2.3,0.44,,,0.73,,,1.39,,,,,,,,,,,,,,1.387
8,TP1,T,1_3,CMT,15,60,45,39.17095251,46.43,,,0.45,0.43,,,4.41,2.09,0.33,1.31,,1.03,3.89,1.39,,7.21,,6.54,0.67,0.33,1.03,1.11,0.37,1.37,,0.85,0.28,,,0.25,3.07,2.82,0.65,0.34,,1.06,,,2.47,,,,,,0.31,0.39,,,,,,,1.654
9,TP1,T,1_3,CMT,60,100,40,22.02147498,16.36,,,,,,,0.98,0.64,,0.63,,,1.07,,,4.55,,2.82,0.52,,0.44,0.39,,,,1.23,,,,,0.94,0.54,,,,0.58,,,1.02,,,,,,,,,,,,,,3.136
10,TP1,C,1_4,CMT,0,15,15,70.44107041,46.84,,,0.38,0.54,,,3.57,1.84,0.29,1.16,,0.82,4.44,1.46,,7.32,,5.06,0.61,0.26,0.83,0.93,0.49,1.45,0.25,0.78,0.25,,,1.38,3.49,4.08,0.68,0.4,,1.06,,,1.9,,,,,,0.36,0.3,,,,0.23,,0.25,1.267
11,TP1,C,1_4,CMT,15,60,45,33.81619373,21.91,,,,,,,1.63,1.14,,0.6,,,1.8,0.56,,4.98,,3.39,0.61,,0.54,0.57,,0.54,,0.84,,,,,1.24,1,0.35,,,0.54,,,1.36,,,,,,,0.22,,,,,,,2.002
12,TP1,C,1_4,CMT,60,100,40,19.5871207,11.83,,,,,,,0.67,0.42,,0.45,,,0.75,,,3.23,,2.28,0.47,,0.35,,,,,0.99,,,,,0.71,0.42,,,,,,,0.68,,,,,,,0.41,,,,,,,3.269
13,TP1,T,2_3,OMT,0,15,15,92.39798119,85.8,,0.48,0.63,0.65,,,5.98,3.39,0.58,2.2,,1.61,8.23,3.06,,11.64,,8.03,0.91,0.44,1.29,1.6,0.94,2.79,0.37,0.91,0.49,,0.69,4.48,6.95,8.71,1.23,0.66,,1.66,,,3.36,0.37,,,,0.27,0.39,,,,,0.25,,0.54,1.082
14,TP1,T,2_3,OMT,15,60,45,19.16569974,27.29,,,,,,,1.82,1.4,,0.8,,,2.02,0.73,,6.09,,3.58,0.71,,0.63,0.72,,0.65,,1.24,,,,0.39,1.46,1.39,0.41,,,0.81,,,2.01,,,,,,,0.41,,,,,,,1.866
15,TP1,T,2_3,OMT,60,100,40,18.82412195,9.81,,,,,,,0.54,0.36,,0.44,,,0.52,,,2.28,,1.78,0.51,,0.31,0.29,,,,0.81,,,,,0.7,0.37,,,,0.37,,,0.53,,,,,,,,,,,,,,3.818
16,TP1,C,2_4,LMT,0,15,15,72.40743053,87.28,,0.57,0.67,0.68,,0.28,5.38,3.91,0.58,2.38,,1.54,8.56,2.89,0.31,12.01,,6.29,0.83,0.53,1.18,1.59,1.31,2.67,0.48,0.8,0.57,,0.49,3.55,6.75,11.2,1.54,0.71,,1.66,,,3.1,0.36,0.16,,,0.36,0.43,0.27,,,,0.31,,0.36,0.92
17,TP1,C,2_4,LMT,15,60,45,26.79906645,27.97,,,,,,,2.5,1.49,,0.9,,0.56,1.97,0.76,,5.18,,4.24,0.72,,0.74,0.77,,0.76,,0.85,,,,,1.77,1.5,0.44,,,0.74,,,1.63,,,,,,,0.45,,,,,,,1.951
18,TP1,C,2_4,LMT,60,100,40,14.9733554,15.45,,,,,,,0.95,0.66,,0.59,,,0.63,,,4.37,,2.47,0.5,,0.44,0.41,,,,1.13,,,,,0.73,0.5,,,,0.51,,,0.92,,,,,,,0.64,,,,,,,4.038
19,TP1,C,4_4,LMT,0,15,15,67.52813091,82.88,,0.46,0.61,0.62,,,5.44,3.3,0.63,1.9,,1.48,7.19,2.88,,14.02,,6.55,0.81,0.37,1.16,1.44,0.85,2.32,0.45,0.75,0.47,0.73,,5.31,6.11,8.36,1.56,0.64,,1.47,,,3.11,0.25,,,,0.32,0.6,,,,,0.32,,0.42,1.008
20,TP1,C,4_4,LMT,15,60,45,27.52329728,22.36,,,,,,,1.75,1.19,,0.75,,0.39,1.12,0.51,,5.34,,3.55,0.62,,0.6,0.64,,0.51,,1.06,,,,,1.21,0.83,0.32,,,0.59,,,1.05,,,,,,,0.33,,,,,,,2.633
21,TP1,C,4_4,LMT,60,100,40,18.41328078,12.44,,,,,,,0.93,0.64,,0.57,,,0.82,,,2.98,,2.13,0.52,,0.41,0.41,,,,0.75,,,,,0.72,0.49,,,,,,,0.79,,,,,,,0.29,,,,,,,3.167
