,plot,mgmttype,year,cash_crop_planted,tom_C_kgha,corn_C_kgha,wcc_c_kgha,wcc_n_kgha,wheat_c_content_kg_ha,sudangrass_c_kg_ha,compost_applied_tons,Total C_compost,Total K_compost,Total N_compost,Total P_compost,Total S_compost,compost_c_kg_ha,compost_n_kg_ha,compost_phosphorus_kg_ha,compost_s_kg_ha,compost_k_kg_ha,fert_N_kg_ha,fert_P_kg_ha,fert_S_kg_ha,fert_K_kg_ha
1,1_1,LMT,1994,Tomato,560.7824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.6811342,0,163.4770934,0
2,1_2,OMT,1994,Maize,0,5976.299213,1650.63,157.01,0,0,8,18.13,1.8821,1.965,1.34,4788.33,3251.36168,352.39524,240.31024,85.87199489,337.5282856,0,0,0,0
3,1_3,CMT,1994,Tomato,657.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.6811342,0,163.4770934,0
4,1_4,CMT,1994,Maize,0,6040.629921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.3491076,0,72.7790322,0
5,2_3,OMT,1994,Tomato,832.446,0,1974.73,175.04,0,0,4,18.13,1.8821,1.965,1.34,4788.33,1625.68084,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
6,2_4,LMT,1994,Maize,0,5312.480315,1777.27,172.91,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
7,4_4,LMT,1994,Maize,0,5460.301837,2099.3,209.93,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
8,4_5,CMT,1994,Tomato,2300.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.6811342,0,163.4770934,0
9,5_5,CMT,1994,Maize,0,6594.055118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.3491076,0,72.7790322,0
10,6_3,LMT,1994,Tomato,1755.6521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.6811342,0,163.4770934,0
11,6_4,OMT,1994,Tomato,2149.2312,0,1683.89,149.01,0,0,4,18.13,1.8821,1.965,1.34,4788.33,1625.68084,176.19762,120.15512,42.93599744,168.7641428,0,0,0,0
12,6_5,OMT,1994,Maize,0,6193.832021,1562.49,129.28,0,0,8,18.13,1.8821,1.965,1.34,4788.33,3251.36168,352.39524,240.31024,85.87199489,337.5282856,0,0,0,0
13,6_7,LMT,1994,Tomato,2094.4728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.6811342,0,163.4770934,0
