plot,mgmttype,block,depth_upper,depth_fraction,bulkD_12,bulkD_07,bulkD_93,percC_93,percN_93,percC_03,percN_03,percC_12,percN_12,percC_18,percN_18
1_1,LMT,1,0,0.15,1.12,1.17,1.55,1.015478204,0.098271327,1.07,0.106,1.210490455,0.131219716,1.2260974,0.122178292
1_1,LMT,1,15,0.45,1.41004,1.520038,1.63003,0.855848006,0.081509021,0.85994,0.0813275,0.909943222,0.089479218,0.8078662,0.080624769
1_1,LMT,1,60,0.4,1.68,1.6825,1.69,0.680454562,0.062965756,0.625,0.061,0.597170284,0.05657919,0.600137,0.065763133
1_2,OMT,1,0,0.15,1.48,1.414,1.5,1.033159719,0.099281514,1.175,0.126,1.415542441,0.148285388,1.4380893,0.161003331
1_2,OMT,1,15,0.45,1.3467,1.442714,1.53335,0.855026483,0.081947245,0.99151,0.1023125,0.970355705,0.094329497,1.4368288,0.160869041
1_2,OMT,1,60,0.4,1.65,1.656,1.65,0.62005,0.065,0.67,0.0655,0.701252258,0.067365221,0.7423851,0.074222685
1_3,CMT,1,0,0.15,1.1,1.376,1.48,1.086029283,0.101397259,0.995,0.104,1.090268058,0.101282163,1.2149307,0.115299728
1_3,CMT,1,15,0.45,1.6,1.444692,1.5567,0.862175925,0.082109341,0.88328,0.085162,0.906186743,0.086781421,0.8837714,0.088726754
1_3,CMT,1,60,0.4,1.68,1.758,1.68,0.598920408,0.054671383,0.61,0.059,0.66544835,0.060859298,0.7744446,0.075912181
1_4,CMT,1,0,0.15,1.28,1.336,1.48,1.04569928,0.102297432,1.04,0.1095,0.995365469,0.096372768,1.0700487,0.10708748
1_4,CMT,1,15,0.45,1.51679,1.426058,1.49335,0.829113291,0.081089788,0.84159,0.0816605,0.760401511,0.077620851,0.8926083,0.088230149
1_4,CMT,1,60,0.4,1.61,1.642,1.61,0.652204201,0.060992388,0.54,0.0565,0.555247808,0.055440554,0.5467961,0.061672402
2_3,OMT,1,0,0.15,1.17,1.46,1.5,0.827684079,0.083362906,1.1,0.1305,1.312461008,0.134567542,1.4386776,0.163505311
2_3,OMT,1,15,0.45,1.41336,1.45537,1.49667,0.662087181,0.065627035,0.78988,0.0818195,0.848447815,0.078279724,0.8265484,0.089278628
2_3,OMT,1,60,0.4,1.69,1.654,1.69,0.515250321,0.050151295,0.52,0.052,0.564795847,0.054663398,0.5103539,0.057802209
2_4,LMT,1,0,0.15,1.17,1.436,1.33,0.846769675,0.080866614,0.875,0.0885,1.027752741,0.101634464,1.1054034,0.117896126
2_4,LMT,1,15,0.45,1.2101,1.40002,1.50006,0.715138045,0.068999508,0.709935,0.0686605,0.670733188,0.071447222,0.7340178,0.078180324
2_4,LMT,1,60,0.4,1.68,1.646,1.66,0.508039572,0.055047001,0.535,0.057,0.345113963,0.040388996,0.6308668,0.066631431
4_4,LMT,2,0,0.15,1.34,1.3,1.5,0.804208096,0.08143261,0.86,0.0875,0.975588216,0.095220571,1.0320219,0.107017992
4_4,LMT,2,15,0.45,1.23006,1.358654,1.5767,0.56734877,0.056880539,0.62491,0.060657,0.605666545,0.062404545,0.663995,0.072508725
4_4,LMT,2,60,0.4,1.46,1.378,1.46,0.432890988,0.042101619,0.445,0.044,0.423044515,0.047201647,0.4384386,0.051100668
4_5,CMT,2,0,0.15,1.08,1.346,1.52,0.876852844,0.092065015,0.88,0.0945,1.07034663,0.102719093,0.9457548,0.095423922
4_5,CMT,2,15,0.45,1.46666,1.35732,1.43665,0.629665002,0.061714655,0.689925,0.0688265,0.737311308,0.071237527,0.6153994,0.066354575
4_5,CMT,2,60,0.4,1.45,1.288,1.46,0.462225447,0.044762912,0.445,0.0415,0.512099031,0.046801708,0.4240301,0.050545225
5_5,CMT,2,0,0.15,1.36,1.384,1.52,0.98218033,0.100638746,0.98,0.1075,0.979631885,0.093880553,0.9002497,0.093877573
5_5,CMT,2,15,0.45,1.21009,1.402012,1.52334,0.797387577,0.079127273,0.79329,0.0774955,0.728979778,0.073798885,0.7604646,0.078668272
5_5,CMT,2,60,0.4,1.53,1.466,1.53,0.653463183,0.062597602,0.615,0.061,0.635436776,0.06177396,0.641754,0.066874098
6_3,LMT,2,0,0.15,1.22,1.242,1.46,0.936359476,0.09165637,0.985,0.0985,1.210654831,0.11834364,1.2253325,0.119728455
6_3,LMT,2,15,0.45,1.44668,1.526004,1.57337,0.860775163,0.078048879,0.863305,0.0796625,0.939242861,0.088937768,0.7706448,0.081022112
6_3,LMT,2,60,0.4,1.57,1.458,1.57,0.740420946,0.06706306,0.675,0.0675,0.718814995,0.068686935,0.5756358,0.06609351
