sample_id,timepoint,crop,ID,plot,mgmttype,depth_upper,depth_lower,doc_mgkg,gm_fraction,microbial_biomass_c_mgkg,ammonium_mgkg,nitrate_mgkg,ph,percentN,percentC,calcium_ppm,magnesium_ppm,potentially_mineralizable_c_mgkg,poxc_mgkg,protein_gkg,phosphorus_ppm,sulfur_ppm,cu_ppm,om_percent,suva,sand_percent,silt_percent,clay_percent,bulkdensity
1,TP1,T,1,1_1,LMT,0,15,10.59236324,0.164739884,95.76237297,1.124619218,1.013737558,6.96,0.00124962,0.011620269,2064,1983,28.8,352.3,1466.3,27,8,4.9,2.8,,14.7645,63.35,21.9036,1.12
2,TP1,T,2,1_1,LMT,15,60,2.050532566,0.169515012,53.6794952,0.876708384,1.980872866,7.48,0.000933963,0.008652694,1996,2198,10.3,294.9,1119.9,7,5,5.3,3.1,,13.2628,63.75,23.0305,1.39
3,TP1,T,3,1_1,LMT,60,100,0.651089389,0.148956357,23.17895161,1.258108345,0.56110597,7.25,0.00072075,0.006379943,1667,2355,4.2,216.7,966,4,4,5.1,2.8,,15.7132,61.75,22.4867,1.69
4,TP1,C,4,1_2,OMT,0,15,36.64262919,0.164781112,80.55119842,1.010566347,0.33340801,6.84,0.001614338,0.014222088,2584,2013,36.4,461.8,2042.3,109,20,8,3.1,,18.8758,61.59,19.5926,1.48
5,TP1,C,5,1_2,OMT,15,60,6.783785835,0.158914729,54.17176042,1.132194524,2.331668729,7.41,0.00102419,0.009326174,2127,2052,14.3,300.2,1276.7,34,12,6.2,2.8,,14.28805,63.58,22.0895,1.33
6,TP1,C,6,1_2,OMT,60,100,3.267815028,0.15641953,25.84900402,0.7936608,1.259881245,7.33,0.000732611,0.006814962,1817,2497,4.7,211.5,1130.4,6,4,5.5,2.3,,15.8845,60.66,23.4567,1.66
7,TP1,T,7,1_3,CMT,0,15,7.798467445,0.14995314,72.139242,1.419752268,3.09880566,6.97,0.001071848,0.010280291,2046,1973,19.2,362.7,1451.1,27,5,5.2,3,,17.7833,61.58,20.6614,1.09
8,TP1,T,8,1_3,CMT,15,60,2.415802831,0.173649907,39.17095251,0.670303705,2.94467256,7.12,0.000906695,0.00865829,1914,2132,6.5,294.9,1201.1,9,5,5.4,2,,14.38515,62.795,22.81995,1.6
9,TP1,T,9,1_3,CMT,60,100,1.515973635,0.161445783,22.02147498,0.391079106,0.931047989,7.31,0.000718787,0.006352873,1739,2606,4.1,227.2,969.4,2,6,5.3,2.9,,16.3324,59.7,23.9996,1.68
10,TP1,C,10,1_4,CMT,0,15,9.123626361,0.15428301,70.44107041,1.162967002,3.690599172,7.15,0.001048008,0.01026751,1911,1869,11,357.5,1313.2,25,9,5,2,,18.6603,60.6,20.7289,1.28
